step,episode,episode_return,epsilon,eval_mean,eval_std,eval_steps
2000,13,-12.961,0.955,-51.500,0.000,150
2000,13,-12.961,0.955,-51.500,0.000,150
2000,13,-12.961,0.955,-51.500,0.000,150
2000,13,-12.961,0.955,-51.500,0.000,150
2000,13,-12.961,0.955,-51.500,0.000,150
2000,13,-12.961,0.955,-51.500,0.000,150
2000,13,-12.961,0.955,-51.500,0.000,150
4000,28,-4.055,0.910,79.437,65.474,47
6000,46,2.420,0.865,111.479,1.926,19
8000,66,1.601,0.820,111.421,1.798,18
10000,91,1.745,0.775,111.230,1.695,20
12000,119,2.431,0.730,111.282,1.857,18
14000,158,12.428,0.685,111.558,1.815,18
16000,204,2.176,0.640,111.288,1.867,20
18000,252,-1.675,0.595,111.412,1.774,20
20000,300,4.823,0.550,111.332,1.765,19
22000,356,3.053,0.505,111.398,1.828,17
24000,419,10.068,0.460,111.366,1.961,19
26000,484,5.115,0.415,111.235,1.711,20
28000,552,12.769,0.370,111.268,1.736,18
30000,633,3.026,0.325,111.404,1.947,19
32000,720,10.391,0.280,111.425,1.814,18
34000,811,2.361,0.235,111.304,1.747,18
36000,911,4.746,0.190,111.433,1.872,18
38000,1010,13.218,0.145,111.528,1.933,17
40000,1113,8.065,0.100,111.421,1.853,17
42000,1221,8.162,0.100,111.427,2.007,18
44000,1328,10.025,0.100,111.271,1.819,17
46000,1428,13.315,0.100,111.398,1.885,19
48000,1532,-0.020,0.100,111.347,1.759,17
50000,1637,-0.030,0.100,111.509,1.920,18
